iter	Passed	Remaining
0	47	391544
1	82	335957
2	120	327983
3	158	324994
4	204	334964
5	238	325204
6	271	318031
7	304	311364
8	343	312011
9	380	310925
10	417	310565
11	458	312687
12	497	312740
13	547	319673
14	595	324873
15	639	326942
16	682	327968
17	718	326434
18	755	324784
19	789	322740
20	826	321402
21	867	322057
22	907	322335
23	945	321624
24	986	322419
25	1026	322555
26	1065	322245
27	1101	321185
28	1142	321611
29	1178	320604
30	1213	319438
31	1252	319281
32	1285	317864
33	1330	319350
34	1379	321535
35	1429	323845
36	1494	329489
37	1553	333414
38	1609	336374
39	1649	336201
40	1688	335711
41	1736	336919
42	1787	338702
43	1857	343885
44	1907	345331
45	1948	345121
46	1994	345661
47	2032	344796
48	2073	344595
49	2124	346010
50	2163	345283
51	2206	345339
52	2246	344955
53	2286	344533
54	2326	344137
55	2366	343865
56	2408	343717
57	2456	344508
58	2492	343629
59	2535	343625
60	2572	342935
61	2616	343090
62	2660	343335
63	2696	342459
64	2732	341642
65	2770	341125
66	2807	340410
67	2851	340619
68	2888	340099
69	2923	339214
70	2958	338418
71	2991	337364
72	3025	336498
73	3060	335757
74	3094	334916
75	3132	334492
76	3170	334177
77	3210	333943
78	3254	334194
79	3298	334466
80	3337	334244
81	3374	333792
82	3416	333758
83	3456	333586
84	3494	333286
85	3534	333164
86	3574	332995
87	3612	332724
88	3648	332206
89	3683	331618
90	3718	330998
91	3754	330562
92	3793	330317
93	3833	330223
94	3870	329851
95	3911	329900
96	3960	330499
97	4016	331707
98	4057	331726
99	4095	331398
100	4131	330981
101	4164	330301
102	4202	330048
103	4242	329961
104	4276	329375
105	4311	328870
106	4344	328300
107	4380	327920
108	4418	327649
109	4454	327290
110	4491	326970
111	4524	326435
112	4562	326195
113	4600	325960
114	4632	325385
115	4669	325059
116	4706	324815
117	4740	324386
118	4779	324240
119	4826	324658
120	4861	324254
121	4892	323631
122	4927	323228
123	4962	322890
124	4996	322459
125	5029	321977
126	5077	322415
127	5115	322272
128	5149	321834
129	5180	321280
130	5214	320845
131	5248	320488
132	5281	319998
133	5314	319569
134	5349	319269
135	5383	318907
136	5419	318648
137	5455	318370
138	5488	317976
139	5523	317682
140	5562	317609
141	5596	317240
142	5631	316964
143	5665	316614
144	5701	316396
145	5735	316077
146	5770	315811
147	5808	315697
148	5840	315252
149	5874	314931
150	5908	314636
151	5943	314356
152	5977	314087
153	6011	313751
154	6048	313604
155	6081	313281
156	6114	312951
157	6148	312647
158	6186	312575
159	6218	312165
160	6248	311672
161	6282	311414
162	6317	311186
163	6351	310898
164	6390	310879
165	6425	310658
166	6458	310349
167	6496	310279
168	6532	310128
169	6569	309995
170	6602	309707
171	6635	309405
172	6668	309121
173	6703	308897
174	6737	308646
175	6773	308519
176	6808	308309
177	6841	308008
178	6873	307711
179	6906	307430
180	6940	307191
