iter	Logloss
0	0.6861860894
1	0.6765271267
2	0.669761773
3	0.661100803
4	0.6510946181
5	0.6422559136
6	0.6365035807
7	0.626945204
8	0.6193776042
9	0.6143561198
10	0.6091965061
11	0.6027120226
12	0.5955848524
13	0.5900941298
14	0.5834493815
15	0.578624566
16	0.5716161024
17	0.5658119032
18	0.5603107096
19	0.5555343967
20	0.5499735786
21	0.5441744792
22	0.5377115885
23	0.5319220378
24	0.5248753255
25	0.5179828016
26	0.5115359158
27	0.5056611328
28	0.5008963216
29	0.4951010742
30	0.4899150933
31	0.4842918837
32	0.4782655707
33	0.4738500977
34	0.4699925673
35	0.4665820312
36	0.461824273
37	0.4574512261
38	0.4531043837
39	0.4493456489
40	0.4449801432
41	0.4408836263
42	0.4363063151
43	0.4323255208
44	0.4281201986
45	0.4243521864
46	0.4189973958
47	0.4141500922
48	0.4087512478
49	0.403671441
50	0.3982122396
51	0.3941782498
52	0.3899805773
53	0.3869080946
54	0.383567627
55	0.3794444987
56	0.3762551812
57	0.371644911
58	0.3678849013
59	0.3653834093
60	0.3611171061
61	0.3575403103
62	0.3533878309
63	0.3504812554
64	0.3462537435
65	0.3429930284
66	0.3397957086
67	0.336854248
68	0.3342086589
69	0.3305748427
70	0.3274625922
71	0.3248826226
72	0.3217975532
73	0.3187875434
74	0.3151870931
75	0.312920383
76	0.3109306641
77	0.3076962077
78	0.3044010417
79	0.3020041775
80	0.2995020616
81	0.2963366157
82	0.2932416992
83	0.2912954102
84	0.2889956868
85	0.286226454
86	0.2835648058
87	0.2807992893
88	0.2786355523
89	0.2767182617
90	0.2746011285
91	0.2729302843
92	0.2715835232
93	0.2689826931
94	0.2674177246
95	0.2655929905
96	0.2634832357
97	0.261090332
98	0.2592622613
99	0.2573474935
100	0.2553877224
101	0.2539310167
102	0.2521944987
103	0.2502597656
104	0.2485428331
105	0.247195638
106	0.2454500597
107	0.2440369195
108	0.2422744141
109	0.2403327365
110	0.2385962999
111	0.2368018934
112	0.2359399957
113	0.2337794325
114	0.2326489258
115	0.2303798828
116	0.2287445475
117	0.2275032281
118	0.2262570665
119	0.2248759766
120	0.2236179742
121	0.2220728488
122	0.2205928819
123	0.2195028483
124	0.2184675293
125	0.2173269992
126	0.2164793837
127	0.2152330051
128	0.2140555556
129	0.21299882
130	0.2117212999
131	0.2102223036
132	0.2091495768
133	0.2082435574
134	0.2064457737
135	0.2053234456
136	0.2043159451
137	0.203083903
138	0.201884196
139	0.2007607422
140	0.1992242974
141	0.1981680773
142	0.1968412137
143	0.1954538303
144	0.1944447157
145	0.1933074273
146	0.192742079
147	0.1918215875
148	0.1904557563
149	0.1899236111
150	0.1894070909
151	0.1882077772
152	0.1870079481
153	0.1858950195
154	0.1847789849
155	0.1840472141
156	0.1833971354
157	0.1822770454
158	0.1814732802
159	0.1806620416
160	0.1796411133
161	0.1784268934
162	0.1773515896
163	0.1768809136
164	0.176046875
165	0.1752038303
166	0.1744430067
167	0.1737437609
168	0.1730064969
169	0.1721995714
170	0.1712746175
171	0.1707967394
172	0.1699925808
173	0.1690726725
174	0.1686930339
175	0.1675477973
176	0.1668293593
177	0.1658954807
178	0.1649517687
179	0.1642751872
180	0.1633891602
181	0.1627112088
182	0.1616991645
183	0.1610913357
184	0.1604610867
185	0.1593160536
186	0.1586440701
187	0.1579106717
188	0.1570210232
189	0.1564182536
190	0.1556114366
191	0.1552932671
192	0.1542891439
193	0.1533163791
194	0.1523508301
195	0.1514773899
196	0.1508260634
197	0.1502168647
198	0.1494472928
199	0.1484707167
200	0.1481183946
201	0.1477583008
202	0.1470471056
203	0.1463796387
204	0.1455985243
205	0.1449474284
206	0.144286377
207	0.1434422472
208	0.1425931803
209	0.1420305311
210	0.1412848443
211	0.1406010471
212	0.1399844564
213	0.1392232395
214	0.138517117
215	0.1376927355
216	0.1369155273
217	0.1363613959
218	0.1360527344
219	0.1352041016
220	0.1347467177
221	0.1344051649
222	0.1337783339
223	0.1332040473
224	0.1324103733
225	0.1316098633
226	0.1311659885
227	0.1306734348
228	0.1302880588
229	0.1294845242
230	0.1288280979
231	0.1281411947
232	0.1275580377
233	0.1271081814
234	0.1264877523
235	0.1259875624
236	0.1252765571
237	0.1246354438
238	0.123933214
239	0.1232384711
240	0.1228172879
241	0.1223339572
242	0.1217514106
243	0.1210401476
244	0.1205246582
245	0.1201305474
246	0.1197536485
247	0.1193087565
248	0.118835612
249	0.1185280219
250	0.1180205078
251	0.1176680773
252	0.1170292155
253	0.1165888672
254	0.1160800781
255	0.1158276638
256	0.115251709
257	0.1147118598
258	0.1141943088
259	0.1137890082
260	0.1133648139
261	0.1128708632
262	0.1123406915
263	0.1120132785
264	0.1115074192
265	0.110970242
266	0.1104565972
267	0.1101767714
268	0.1098169488
269	0.1094580146
270	0.1091889988
271	0.1089135742
272	0.1085253838
273	0.1081444024
274	0.1079048937
275	0.1074407823
276	0.1070417887
277	0.1067541979
278	0.1064149577
279	0.1058896281
280	0.1056409234
281	0.1054562853
282	0.105109687
283	0.1049454414
284	0.1047368707
285	0.1044630263
286	0.1042461344
287	0.1039207289
288	0.1036528592
289	0.1034611884
290	0.103213284
291	0.1028983426
292	0.102348877
293	0.1020136515
294	0.1016558431
295	0.101502238
296	0.101158705
297	0.1008680759
298	0.1005601535
299	0.1001430935
300	0.0999079522
301	0.09955940077
302	0.09919291857
303	0.0989209866
304	0.09851974826
305	0.09822390408
306	0.09801984999
307	0.09774654134
308	0.0974039171
309	0.09706259494
310	0.0967977634
311	0.09645330132
312	0.09623158095
313	0.0958882175
314	0.09553838433
315	0.09508814833
316	0.09483242459
317	0.09467756483
318	0.09447016737
319	0.09426722548
320	0.09402128092
321	0.09363867187
322	0.09335125054
323	0.09299362522
324	0.09260534668
325	0.09217936876
326	0.09182600233
327	0.09170918104
328	0.09151908366
329	0.09124606662
330	0.09089147949
331	0.09061972385
332	0.09029675293
333	0.09005406359
334	0.08981373427
335	0.08953270128
336	0.08927929687
337	0.08903091092
338	0.08893688965
339	0.08884791395
340	0.08851578098
341	0.08827275933
342	0.08815490723
343	0.08787828234
344	0.08766778564
345	0.08747006565
346	0.08723390028
347	0.08710480414
348	0.08699042426
349	0.08683342828
350	0.08672471788
351	0.08655752224
352	0.08635584852
353	0.08616609701
354	0.08594532606
355	0.08570191786
356	0.0854350179
357	0.08533210585
358	0.08504675293
359	0.08483694797
360	0.08466463216
361	0.0844913737
362	0.08421781413
363	0.08395035807
364	0.08366109212
365	0.08348181152
366	0.08328309462
367	0.08309508599
368	0.08296733941
369	0.08276793755
370	0.08256044515
371	0.08224464925
372	0.08216655816
373	0.0819736735
374	0.08175341797
375	0.08155600315
376	0.0813908827
377	0.08128337945
378	0.08115718587
379	0.0810766059
380	0.08092454698
381	0.08080616591
382	0.08059071859
383	0.08051652696
384	0.08041628011
385	0.08024241808
386	0.08007902018
387	0.07998843045
388	0.07990180122
389	0.07976966688
390	0.07958744982
391	0.07938920763
392	0.07930554199
393	0.07913572862
394	0.07905281576
395	0.07894327799
396	0.07868499078
397	0.07853548177
398	0.078355896
399	0.0781800944
400	0.07799504259
401	0.0779122111
402	0.07772728136
403	0.0776488444
404	0.07744624159
405	0.07735076226
406	0.07726915826
407	0.07718806966
408	0.07701848687
409	0.07687800429
410	0.07668714057
411	0.07652155219
412	0.07634471978
413	0.07611593289
414	0.07596369765
415	0.07588581
416	0.07582402886
417	0.07565668403
418	0.07551536051
419	0.0753548584
420	0.07518170844
421	0.07502105035
422	0.07492837185
423	0.07485049778
424	0.07473602295
425	0.07453181966
426	0.07430686442
427	0.07409754774
428	0.07400042046
429	0.07381290012
430	0.07369597711
431	0.07346037462
432	0.07324767388
433	0.07317614746
434	0.07304349094
435	0.07288964844
436	0.07281908502
437	0.0726803182
438	0.07262468126
439	0.07246895345
440	0.07240775553
441	0.07229067654
442	0.07220214844
443	0.07202050103
444	0.0719312066
445	0.07178999837
446	0.07165319146
447	0.07160224745
448	0.07151713053
449	0.0713480089
450	0.0711854248
451	0.07112159559
452	0.07104656304
453	0.07095205349
454	0.07088880751
455	0.07077140299
456	0.07062164307
457	0.0704573839
458	0.07032563612
459	0.07018707954
460	0.07002935113
461	0.06996424696
462	0.06981981066
463	0.06973158095
464	0.06966670736
465	0.06955273437
466	0.06942432319
467	0.06932280138
468	0.0691708374
469	0.06902491591
470	0.06895585124
471	0.06883954536
472	0.06868035211
473	0.0686167806
474	0.06856697591
475	0.06842391629
476	0.06831342909
477	0.06824359131
478	0.06813361274
479	0.06803304036
480	0.06794623481
481	0.06788051351
482	0.06782428657
483	0.06771807183
484	0.06763313802
485	0.06747756619
486	0.06738643392
487	0.06727223036
488	0.06722643365
489	0.06706873915
490	0.0669977417
491	0.06680721029
492	0.06674702962
493	0.06661936442
494	0.0665583903
495	0.0664377577
496	0.0663745185
497	0.06632436795
498	0.0662083469
499	0.06615226237
500	0.06600150553
501	0.06588427734
502	0.06582219103
503	0.06575709364
504	0.06561496311
505	0.06554329427
506	0.06549576823
507	0.06543650309
508	0.06535367839
509	0.06521472168
510	0.06514099121
511	0.06504962836
512	0.06500604926
513	0.06496082899
514	0.06490713162
515	0.0647916531
516	0.06472940403
517	0.06467692057
518	0.06457560221
519	0.06450823296
520	0.06445376248
521	0.06436277262
522	0.06425217014
523	0.06419775391
524	0.06413513184
525	0.06399775526
526	0.06393693034
527	0.06379705132
528	0.06372969564
529	0.06367937554
530	0.06362906901
531	0.06358447266
532	0.06345895725
533	0.0633369751
534	0.06329520671
535	0.06324225532
536	0.06319536675
537	0.06315140788
538	0.06310871718
539	0.06306119792
540	0.06300817193
541	0.06295439317
542	0.06291069878
543	0.06279812283
544	0.06273467339
545	0.06268085395
546	0.06264606391
547	0.06254523383
548	0.06250083415
549	0.06244411892
550	0.06240442573
551	0.06235714383
552	0.06231465658
553	0.06219514296
554	0.06210370551
555	0.06205805122
