iter	Passed	Remaining
0	84	693833
1	156	640070
2	250	683173
3	337	691004
4	432	707433
5	516	705043
6	611	714648
7	712	729192
8	798	725823
9	904	740258
10	1000	744401
11	1087	741134
12	1187	747413
13	1292	755051
14	1401	764092
15	1496	764742
16	1582	761205
17	1689	767108
18	1795	772152
19	1900	776577
20	2022	786769
21	2103	781166
22	2188	777408
23	2271	773018
24	2354	769013
25	2436	765303
26	2511	759514
27	2586	754237
28	2669	751287
29	2749	748125
30	2839	747555
31	2928	746802
32	3011	744522
33	3096	743069
34	3181	741498
35	3281	743330
36	3369	742617
37	3488	748621
38	3602	753152
39	3735	761235
40	3859	767267
41	3945	765549
42	4039	765561
43	4143	767322
44	4259	771101
45	4372	774387
46	4469	774512
47	4558	773373
48	4653	773340
49	4751	773706
50	4860	775796
51	4954	775626
52	5028	772162
53	5105	769370
54	5191	768100
55	5272	766038
56	5349	763430
57	5432	761821
58	5500	758275
59	5575	755691
60	5639	751746
61	5714	749317
62	5787	746805
63	5859	744201
64	5930	741522
65	6005	739418
66	6092	738801
67	6173	737573
68	6253	736171
69	6325	733972
70	6403	732485
71	6477	730545
72	6560	729634
73	6647	729292
74	6727	728086
75	6813	727624
76	6901	727361
77	6992	727427
78	7075	726599
79	7148	724907
80	7235	724552
81	7317	723670
82	7411	724051
83	7499	723861
84	7615	726309
85	7714	727143
86	7799	726647
87	7890	726621
88	7978	726414
89	8060	725643
90	8159	726407
91	8245	725965
92	8340	726345
93	8445	727564
94	8609	733842
95	8782	740641
96	9013	752176
97	9457	781138
98	9767	798458
99	10011	810139
100	10399	833131
101	10633	843364
102	10805	848613
103	10996	855220
104	11239	865690
105	11566	882290
106	11716	885315
107	11881	889345
108	12079	895762
109	12246	899774
110	12648	920812
111	12923	932351
112	13073	934689
113	13352	946145
114	13543	951189
115	13810	961462
116	13977	964665
117	14167	969368
118	14312	970990
119	14450	972013
120	14658	977780
121	14879	984212
122	15017	985196
123	15144	985337
124	15395	993581
125	15606	999046
126	15823	1004843
127	15948	1004748
128	16170	1010747
129	16343	1013577
130	16585	1020553
131	16715	1020668
132	16950	1027108
133	17093	1027917
134	17413	1039292
