iter	Logloss
0	0.6835917025
1	0.6726794013
2	0.6613904036
3	0.6508687449
4	0.6407368955
5	0.6298946812
6	0.6184761139
7	0.6086526977
8	0.5981166742
9	0.5879156643
10	0.5781928456
11	0.5677963049
12	0.5574275691
13	0.5478751218
14	0.5395755262
15	0.5309350218
16	0.5244000554
17	0.5170846642
18	0.5101751334
19	0.5024224293
20	0.4934055319
21	0.48506109
22	0.4774122895
23	0.4704681463
24	0.463797933
25	0.4562834613
26	0.4498393868
27	0.4430177987
28	0.4371943335
29	0.4297245514
30	0.423798477
31	0.4185917424
32	0.4141670988
33	0.4085233898
34	0.4027013924
35	0.3975087995
36	0.3926471651
37	0.3869489792
38	0.3819762352
39	0.3767837077
40	0.3717656079
41	0.3666488395
42	0.3620211625
43	0.356448101
44	0.3534641035
45	0.3477604107
46	0.3418404835
47	0.3372944638
48	0.3329491962
49	0.3287340773
50	0.3247512376
51	0.3206553811
52	0.3169569644
53	0.3141284829
54	0.310582015
55	0.3059667826
56	0.302651541
57	0.2987568723
58	0.2956556361
59	0.2928436708
60	0.2898173149
61	0.286543713
62	0.2834878627
63	0.280076768
64	0.2774557421
65	0.2748024802
66	0.2720720145
67	0.2689285909
68	0.2658939419
69	0.2634094643
70	0.2603990703
71	0.2578328894
72	0.2554170459
73	0.2527814948
74	0.2500872192
75	0.2475668342
76	0.2439882023
77	0.2416186579
78	0.2392429469
79	0.2369002181
80	0.2350584764
81	0.2331802758
82	0.2311100042
83	0.2292845524
84	0.2273030822
85	0.2250610096
86	0.223043166
87	0.2210085382
88	0.218370491
89	0.2162854714
90	0.2145837865
91	0.2126590815
92	0.2108468493
93	0.2088613719
94	0.207534094
95	0.2060437207
96	0.2047969068
97	0.2030816234
98	0.2010125769
99	0.1989799642
100	0.1973732012
101	0.1959625396
102	0.1939290901
103	0.1926591167
104	0.1911985533
105	0.1898673589
106	0.1885594617
107	0.1874685731
108	0.1866705467
109	0.1856746324
110	0.1841523352
111	0.18282973
112	0.181747358
113	0.1810610904
114	0.1802355082
115	0.1792628714
116	0.1782634551
